No,Username,Komentar,Sentimen,platform
169,mycozylife22__,buat pengumuman yg batch mahasiswa kapan min? yg abis upload video resume?,Netral,instagram
170,eijeieneiefi,untuk di web magenta pengumumannya yang tidak lolos administrasi kapan kira2 kak?. biar bisa apply yang lain hehe,Negatif,instagram
171,me.ekkaa,seleksi magang kek udah seleksi cari kerja ya 😔,Negatif,instagram
172,salsabilaamhhrn,Min gak dikasih tau kah kekurangan kami yang gak lolos adm? Kayak ipk kurang atau domisili gak sesuai,Negatif,instagram
173,loevron65,Yah kelewatan 😢,Negatif,instagram
174,ghtrd.6,anj gw nyari² link dftar nih magang gk ktemu²,Negatif,instagram
175,0.0_1114,min kolom semester diisi apa ya kalo fresh grad?,Netral,instagram
176,vvionast_,Proses pengajuan jurusan berapa lama ya min?,Netral,instagram
177,mhmmdafa._,fresh graduate harus tetep masukin nama universitas min? soalnya kampusku gaada disitu,Netral,instagram
178,fakhrezadwitamaa,Blom ada emailnya😢 cuman udah di WA,Negatif,instagram
179,luthfi.satriaaa,Ini yang untuk fg nama lengkap pic magang perguruan tinggi trus jabatan pic magang perguruan tinggi maksudnya apa ya ?,Netral,instagram
180,ridosptwnn,"emailnya udah dikirim apa belum min?
trus dikirim ke semua nya ga min?",Netral,instagram
181,eijeieneiefi,"min, pakta integritas untuk nanti ya uploadnya? soalnya tadi pas registrasi ulang belum ada tempat buat upload pakta integritasnya",Netral,instagram
182,whtuwant01,min kalau gabisa download pakta integritas gimana ya?,Netral,instagram
183,ary_wardana06,5000 lebih 😢 itu peluang lolos dikit jadinya,Negatif,instagram
184,ary_wardana06,"Maaf min, saya belum dapat email dari pagi tadi😅",Negatif,instagram
185,haz.rkive,"Mohon di bantu min. Saya gak bisa login akun, katanya ""kata sandi salah"", tapi saya udah isi sama kaya yang di akun magenta. Mohon dibantu itu kenapa ya Min? 🙏🏻",Netral,instagram
186,cheweezz,Belom dapet emailnya min baru dapet wa,Netral,instagram
187,jyndaul,Ini emang gak ada semua univ nya ya min? Aku cek UI juga gak ada masa,Negatif,instagram
188,dinduyyy06,@livingintelkom Hai kak mau tanya untuk kolom semester di data pendidikan untuk fresh graduate diisinya bagaimana ya kak? Terima kasih,Netral,instagram
189,ghinaamfiidh,"min saya udh dpt email buat re-enrollment tpi jurusan saya gaada disitu dan udh cba buat pengajuan, kira” brp lama ya pengajuan nya?",Netral,instagram
190,cthyzzh_,Min pengiriman email nya sampe jam berapa? Biar gak berharap terlalu lama nih,Negatif,instagram
191,fresh.hotdog,"Halo admin, bagaimana pengisian PIC magang untuk fresh graduate?",Netral,instagram
192,_ris_ris28,"Min, yg PIC magang itu di isi ngga ya?",Netral,instagram
193,eliarani27,Min yang fresh graduate yang bagian nama lengkap atau jabatan pic magang itu Disi gak ya min ? Aku bingung kalau mau ngisi takut salah min🙏,Netral,instagram
194,rzkyansf,"Min, kalo progress bab di data tugas akhir itu apa ya? Sedang mengerjakan bab berapa gitu ? Apa gimana?",Netral,instagram
195,faisalloct,Pas ngirim pengajuan perguruan tinggi ko ga bisa ngirim ya keterangannya (belum menambahkan fakultas & jurusan yang ingin diajukan) padahal sudah saya isi. Mohon arahannya min,Netral,instagram
196,itsmeeiiii,"Min, untuk fresh graduate saat isi form CV, kolom semester diisi dengan apa yaa? Karena kan sudah lulus @livingintelkom",Netral,instagram
197,dorkbookrats,websitenya down min,Negatif,instagram
198,azriansyah_2301,"Permisi kak, untuk email panduan reenroll apakah sudah dapet semua, soalnya saya belom dapet baru WA saja",Netral,instagram
199,sarahldytbnn,"Min, tolong liat dm dong😭",Netral,instagram
200,cutesinceday1,yg udah dapet email berarti lolos kah min?,Netral,instagram
201,tardis_grada,Kolom semester diisi apa ya min untum fresh graduate?,Netral,instagram
202,diplagi_,Min ini ada info terkait Jobdesk tiap divisinya ga ya?,Netral,instagram
203,xcvlfta_,"Halo kak, mau nanyaam Kalau ditengah program intern berlangsung apakah diperbolehkan yudisium dan graduate?",Netral,instagram
204,an_alfian09,Jurusanku udah di approve saat pengajuan tapi masih belum muncul min😂,Negatif,instagram
205,tiw.ivn,"Pas aku mo submit tulisannya jaringan ga ada, padaahal jarinvanku ga kenapa napa",Negatif,instagram
206,viaaaavs,Websitenya down ka,Negatif,instagram
207,thoif_khasan,"Untuk website internship.telkom.co.id , masih trouble ya min",Negatif,instagram
208,oilymif,min ini klau yg freshgraduate buat ini pic magang yg buat pengajuan univ dan jurusan it gmn min ya?,Netral,instagram
209,aulia_aprilianti02,Ka aku mau tanya kalo kita cuman dpt info dri wa apakah bisa langsung re-enrollment apa harus nunggu dapet email-nya dlu ya ka,Netral,instagram
210,zturdddy,"Min ini nge-bug kah? Datanya blm ada semua, bahkan ku coba ketik 'universitas' biar keluar semua data universitas. Apa emang perlu pengajuan univ & jurusan terlebih dahulu?",Negatif,instagram
211,im_haqi_s,"Belom dapat email min, cuma udh di WA",Negatif,instagram
212,rizkyjuan48,"Permisi min, untuk donlot pakta integritas untuk apa ya?",Netral,instagram
213,sepuluhmei2026,"Buat yg masih resah soal belum dapat email, coba dm aja Kakmin @digistarintern atau @livingintelkom pakai nama lengkap, email, dan universitas ya kakak².",Positif,instagram
214,ary_wardana06,"Selamat malam min, mau nanya, pakta intergritas itu nanti di tulis tangan apa gimana min? Soalnya juga format zip",Netral,instagram
215,nabilapanda_,"min, ini re-enrollment pas aku masukin akun ko emailku blm ter-registrasi ya pdhl aku pake email yg sm ky diakun magenta",Negatif,instagram
216,ambivert.acc,buat trial nya cuma 3 substest aja kan ya?,Netral,instagram
217,kaariinsrg,Min SEB itu apa ya min? Mohon penjelasan nya😞🙏🏻,Negatif,instagram
218,indhhsy_,"Hallo min, device yang dipakai hari ini untuk Trial Test, itu harus sama dengan Online Test senin nanti kah min?😭",Netral,instagram
219,nanaatunnisa,download seb gimna minn,Negatif,instagram
220,selo.tip.exx,min kok di website intern digistar nya di akun ku masih proses seleksi administrasi ya min?,Negatif,instagram
221,matchwalate,ini apk seb nya berapa mb sih😭 dari jam 8 download ga selesai selesai,Negatif,instagram
222,pamelaria_20,plis aku kurang paham sama seb 😟,Negatif,instagram
223,faraadiani,Guys please helppp aku udh install sebnya dan gabiss confignya ini how guys😭,Negatif,instagram
224,whoslanyway,"min ini install seb kok lama banget ya padahal internet lancar, udah speed test juga",Negatif,instagram
225,1snaini._,trial test nyaaa ini oncam kahh min?,Netral,instagram
226,agustinussitanggang03,min kerjai trial online test nya bisa ga jam 8 malam?,Netral,instagram
227,forgetmenout,"kak Min izin tanya, untuk pakta integritas disubmit kapan ya? terima kasih",Netral,instagram
228,juliadalimunthe____,Min ini link url konfigurasi SEB nya bakalan dikirim besok atau gimana? (Bertanya dengan nada lemah lembut),Negatif,instagram
229,echaapee,mau tanya trial online test juga wajib diikuti ya?,Netral,instagram
230,rahmaauliannn,Pls gimana cara confignya? Downloadnya udah bisa tapi confignya ga bisa-bisa 😢 Udah cek di Tiktok jg cmn ngajarin cara install aja,Negatif,instagram
231,srhni17_,"Bismillah semoga dapet kesempatan magang, belajar, bertumbuh, dan punya relasi baru di Digistar.. Aamiin 🔥",Positif,instagram
232,unclesam8384,Ini buat fresh graduate bisa ikut?,Netral,instagram
233,ayzzzh_,wfo ya ini kak?,Netral,instagram
234,kodzyme,kok lowongannya udah gaada di web magentanya? belum waktunya end pdhl,Negatif,instagram
235,_rahmatabdillah,"Min, Tolong solusi buat yang webnya stuck/eror min🙏🏻, udah bingung bgt kenapanya",Negatif,instagram
236,auau.aull,Berarti gada wawancara ya kak?,Netral,instagram
237,rabiyes_nyaibaskom,Fresh graduate belum buka kah min??,Positif,instagram
238,yuliwidiaaa_,selamatt berjuangg kawan kawan❤️,Positif,instagram
239,rivaldiptrra,wish me luck! ❤️🙌,Positif,instagram
240,margaretta.jpg,banyakk yaa,Netral,instagram
241,nankiinn,min ini daftar ulang nya gimana ya ? tata cara nya dong min,Netral,instagram
242,hhhides,Ini daftar ulangnya untuk siapa aja ya min? Semua peserta atau yang udah di proses? Baru daftar kemarin soalnya ^^,Netral,instagram
243,lillautami,Wishing u the best of luck guys♡,Positif,instagram
244,baihaqihafid_,Min untuk daftar ulang trus bagian pengisian sks saat magang itu disi berapa ya?,Netral,instagram
245,theariesign,"min mau tanya untuk yang bagian sertifikasi itu kan aku sertifikat nya belum keluar ya dari lembaga nya, jadi wajib di isi atau ga ya?",Netral,instagram
246,athallaakbar_,wish me luck🥹❤️🙌,Positif,instagram
247,hapiipahhh,"Min aku udah dapet email, tapi kenapa link nya kadaluarsa ya, terus di sana batasnya sampai 12 Januari 2025..gimana ya min",Negatif,instagram
248,queenquicks,Ini nunggu email apa daftar ulang sendiri ya?,Netral,instagram
249,m_aksyal_faiz,halo min @digistarintern mau tanya untuk daftar ulang ini menunggu email atau gimana ya? kalau yang sudah punya akun intern nya bekas digistar batch lalu apakah harus buat akun lagi atau gausah?,Netral,instagram
250,firdasabella,"Min, waktu buat akun digistar universitas nya kok ga muncul,tetapi waktu mau didaftarkan universitas nya sudah terdaftar itu bagaimana ya",Negatif,instagram
251,askme3353,nangis banyak bgt😢 ya Allah bs ga ya,Negatif,instagram
252,sani_sulistyowati,Ini nunggu email apa langsung daftar ulang mandiri di web telkom,Netral,instagram
253,hhhides,Gaes kenapa yaaa tautan yang dikirim ke email ga bisa di akses m,Negatif,instagram
254,__septiani09,"kak maksud dari jumlah sks apa ya? aku skrg smt 6, dan smt 7 di bulan september, sedangkan mapel pkl ada di smt 7",Netral,instagram
255,inisirainn,Ada yang pas klik daftar lewat pesan email malah link nya expired ngga?,Negatif,instagram
256,nazwaaass,"min, nomor ktp ku pernah terpakai waktu regist msib kemarin, dan email yang dipake beda sama email yg dipakai skrg di magenta, solusinya apa ya? udh email tapi belum dibalas :(",Negatif,instagram
257,nabilla_sukmalarassati,Huaa error terus pas masukin data undangan di web digistarnya,Negatif,instagram
258,aexhc.guns,"halo min, aku gatau nih proses kalau sudah berhasil daftar ulang itu bagaimana, Tapi link enroll via emailnya sudah tidak tersedia (Kadaluarsa) itu gimana yaa?",Negatif,instagram
259,chrunchycheese_,"Min, saya ko mau verif email linknya expired ya, mau daftar program lewat yang gmail itu bisa login namun, tidak muncul undangan dari MAGENTA ya min, solusinya bagaimana?",Negatif,instagram
260,aisaaahyow,Min tolong jelasin soal jumlah sks yg diambil dung,Netral,instagram
261,nisrina.s,min belum dapet email nih 😢,Negatif,instagram
262,r_omannn,min error pas download pakta integritas nya,Negatif,instagram
263,gungbagusk_,"link yang baru dikirimkan untuk re-enrollment, expired itu bagaimana ya kak?",Negatif,instagram
264,minmarwoo,pendaftaran programnya dimana ya? kok saya cari gaada ya,Negatif,instagram
265,auroradhena,Baru dapat WhatsApp tapi belom dapet email 😢,Negatif,instagram
266,agustinussitanggang03,min kalo udh daftar deluan di website nya dan salah masuk kn email gimna min?? @digistarintern 🙏. soalnya pas mau masuk harus minta vefikasi dari email yang salah saya buat min🙏,Negatif,instagram
267,srhni17_,"Hallo kak, saya semester 8 dikarenakan sedang menujusidang akhir skripsi jadinya tidak ada sks yang harus di konversi kan, jumlah sks saya harus isinya apa ya kak? Mohon jawaban nya karena saya masih bingung 🙏🏻 @digistarintern @digistarclub @livingintelkom",Netral,instagram
268,srhyyu_rett,Yg buat fg ga ada min??,Netral,instagram
269,abcdairoby,Kok gak ada yah min,Negatif,instagram
270,_ghozifaidhik,"Kak mau nanya, kita bisa akses alamat lengkap setiap cabangnya dimana ya? Mau tau letak kantornya biar gampang nyari tempat singgah klo keterima (aamiin) 🥹",Positif,instagram
271,seliansharia,"Kak mau nanya, kalo udh terlanjut daftar dan pakta integritasnya pake yg otomatis di sistem apakah bisa kak? Saya lupa mengubah nya😢😢",Negatif,instagram
272,arumdesti,Today is the last day teman-teman. Don’t miss the chance to be part of something impactful! ❤️‍🔥🤟🏻,Positif,instagram
273,lillautami,"Ke pasar beli kue cucur, meluncurrrrrrr",Positif,instagram
274,mozacheeseeee,"Min, gimana kalo nomor telepon yg ada di magenta udah gak aktif, tapi gabisa diubah di sistemnya? apakah infonya akan ada di email pendaftar yg lolos seleksi juga? semoga bisa dipertimbangkan🙏",Netral,instagram
275,regersz,"kak kalo misal pas magang masih ada jadwal kuliah, itu bisa izin buat ikut kelas dulu kah?",Netral,instagram
276,creqmyyate,"abis daftar apa lagi yg harus dilakuin, kak?",Netral,instagram
277,pebriiiway,Min ini bisa daftar berapa lowongan ya? Soalnya aku daftar 1 lowongan mau dartar yg lain gabisaa,Negatif,instagram
278,srhni17_,Bismillah keterima & di lirik data diri aku di magenta BUMN sama minmin @digistarintern 🥹🫰🏻🥰Aamiin,Positif,instagram
279,cipcapcipcup12,Saya cek portal magenta tidak ada itu min info magangnya,Negatif,instagram
280,mozacheeseeee,"Min, boleh daftar lebih dari 1 job ga ya?",Netral,instagram
281,romisbtr,Min kok dicek diwebmagenta gaada,Negatif,instagram
282,dhearisky_,"Min, ini konversi sks atau tidak??",Netral,instagram
283,sierra.glacier,"kak wisuda di kampus ku belum fix tglnya bisa di akhir juli atau agustus, nah semisal pas onboardnya saya sudah jdi alumni gmn ya? mengundurkan diri atau gmn? takut nyesel ga dftr klo wisudaku di agustus",Negatif,instagram
284,trldjmy,fresh graduate bisa daftar ga min?,Netral,instagram
285,galeriess.del,min kok lowongannya udah ga ada ya ;(,Negatif,instagram
286,lillautami,Aaaa ada solo🥺,Positif,instagram
287,claraabunga__,untuk lokasinya bisa pilih berapa min?,Netral,instagram
288,apple.piw,Udah di tutup ya kok gada min?,Negatif,instagram
289,pacar.salim,d3 semester akhir bisa ga min 😭,Negatif,instagram
290,srhni17_,Bismillah udah daftar semoga lolos berkas dll. Aamiin. Infoin dunk min Pengumuman lolos nya bulan Agustus ya min? @livingintelkom,Positif,instagram
291,ilyaaar.fd,berarti kalo yang ga dapat email invitation ga keterima yaa?,Netral,instagram
292,hhhides,Halo semua aku mau nanya kalo misalkan salah isi sks apakah bisa di perbaiki? Soalnya udah terlanjur submit😫,Netral,instagram
293,madebyjayyie,kakminnn cv yg diapply harus sama ngga sama yg di magenta,Netral,instagram
294,jenieeeeeeo,kalo web stuck gmn ya min?,Negatif,instagram
295,gstwuland,"kak, saya sudah enrollment, sudah terima undangan, tapi dikasih reminder di WhatsApp kalau saya belum enrollment. gimana ya kak?",Netral,instagram
296,higrandey,"kak, pakta integritasnya knp gabisa diunduh yaa??",Negatif,instagram
297,eliasyw0o,"kalo udah enroll, trs pengisian sksnya salah bisa diubah ga ya min",Netral,instagram
298,isntlanaa,Min aku masih blm dapet email itu gimana yaaa🥲🥲,Negatif,instagram
299,mister.brada,"Min aku udah dapet email, dah regist + reenrollment tp knp ttp dpt wa belum regist ya? Padahal dah tertera jelas kok, aku screenshot dan kirim lgsg ke tim cp nya. Webnya jg error minn aku gbs ngecek",Negatif,instagram
300,erlinsariramadani,"Permisi min, apa ada silabus kegiatan selama magang ini min?",Netral,instagram
301,srhni17_,Ini belum ada email pemilihan lagi ya? Kalau sampe tanggal 15 Juli gadapet berarti ga lolos kak? 😢,Negatif,instagram
302,nabilla_sukmalarassati,"Kak Min mau nanya dong, kalau misal mentee daftar lebih dari 1 divisi dan selalu gagal saat isi form undangan berikutnya gimana ya?",Netral,instagram
303,midlyn_n,Min jumlah SKS yang diambil diisi 20? Bukannya dari petunjuk misal mau konversi semua diisi 0?,Netral,instagram
304,irsyadfahrezi,"Min, saya salah mengisi “Jumlah SKS diambil” itu nanti bisa diubah gak min?🥲🥲",Negatif,instagram
305,yongkigunawan08,Nice try brarti 😢,Negatif,instagram
306,sepuluhmei2026,Wah congrats guys yg batch mahasiswa 🔥👏,Positif,instagram
307,adhrafif,sampe detik ini ada yg masih belum dapet email? dan belum ada perubahan status di website?,Negatif,instagram
308,ayumiranda_lbg,Adakah yg lolos marketing?,Netral,instagram
309,clouddsett,ini klo di web nya masih diproses brrti g keterima yaa min?😢,Negatif,instagram
310,2nd.apisss,"gimana ini min saya blm dapet email lolos/tidak tp di web juga ga berubah², baik web digistar maupun magenta",Negatif,instagram
311,whoosssyya,adakah yg dapet email ga lolos?,Negatif,instagram
312,ajengshy_,belum dapet email ga lolos ya min?,Netral,instagram
313,chandets_dra,Adakah yang lolos data analyst jaksel?,Netral,instagram
314,ajengshy_,Ada yg lolos learning value chain Bandung?,Netral,instagram
315,_.andri,7 februari apa 6 februari kak ? di web 7 feb,Netral,instagram
316,devitazizahmhrn_,Ini yang termasuk fresh graduate kah?,Netral,instagram
317,_atikah_12_,Ini semua 253 sdh dpt email kah??,Netral,instagram
318,xcvlfta_,gaiss researcher bandung ada yang lolos???,Netral,instagram
319,nnpratamaaa,"Thankyou telkom, MSIB, DDB batch agustus, dan digistar. Walaupun mungkin belum bisa bergabung, aku berharap bisa bergabung dengan keluarga telkom di kesempatam lainnya ya 💗✉️",Positif,instagram
320,irfan.fahreza1702,Fresh graduate kapan min?,Netral,instagram
321,zakifr_,Waahhhhh🔥🔥🔥 daftarr buruannn dijamin seru banget🔥,Positif,instagram
322,puturiskaaaaa,"YEYY SUDAHH BUKA! yang kemarin nanyain kapan DCI buka, cussss jangan sampai ketinggalan!!!",Positif,instagram
323,lillautami,Finally di spill kebutuhan berkasnya. Thankyou min!,Positif,instagram
324,afwamii.e,Semester 8 bisa ga min?,Netral,instagram
325,ardhiniihasna,Onboard nya bulan apa kakk,Netral,instagram
326,yulend__,Min mahasiswa sem 8 yg 30 agustus wisuda boleh gk? masuknya kategori mana?,Netral,instagram
327,sanitasiregar_,it's your time to shine 🤩,Positif,instagram
328,nabilaaaakn,IHH KENAPA GA MINIMAL SEMESTER 5😢😢😢😢,Negatif,instagram
329,xyz36.__,Freshgrad mana min,Netral,instagram
330,diipaaaaaaaa_,yg buat freshgrad kapan minn,Netral,instagram
331,puturiskaaaaa,cung yg pengen daftar lagi ✋🏻,Positif,instagram
332,tity.alayda,wahhh😍🔥🔥,Positif,instagram
333,twinkefairy_,penempatannya di jakarta ya?,Netral,instagram
334,creqmyyate,bisa konversi ga sih?,Netral,instagram
335,sweet9yu,buat fresh graduate kapan minn,Netral,instagram
336,riniiyaaa_,Sedihh semester 5 belum bisa😢,Negatif,instagram
337,anotherstarsrighthere,"Halo kak, jika mahasiswa yang sudah selesai sidang skripsi apakah bisa mengikuti kegiatan ini,",Netral,instagram
338,wrdt_spp,Yahh smt 5 gabisa ya kak,Negatif,instagram
339,audhiarahmadanirahmat,"Kalau sekarang udah semester 4, udah boleh apply ga kak?",Netral,instagram
340,xcvlfta_,batch fresh graduate kapan kakk,Netral,instagram
341,jouska_19,Kalo yg tahun ini akan wisuda bagaimana min? Masih bisa ikut atau ada program lain?,Netral,instagram
342,grabmyjob,kak freshgrad gabisa yaa huhu?,Negatif,instagram
343,puturiskaaaaa,MAU DAFTAR LAGIIIIIII 😍😍,Positif,instagram
344,anothercitra.png,"kak kalau saat pendaftaran kita belum sidang, dan ketika on boarding udah sidang dan dinyatakan lulus tapi belum yudisium, apakah masih bisa ikut batch ini?",Netral,instagram
345,pinkieblinky_area,kak ini re enrollment nya gimana ya?,Netral,instagram
346,alterboyyyyz,ini tuh stupen atau magang ya?,Netral,instagram
347,agil._._,fresh graduate bisa kan min? saya sudah apply @livingintelkom,Netral,instagram
348,iimmanuuel,CAN’T WAITT 🔥🔥🤩🤩🤩,Positif,instagram
349,larskamila,Smgt guyss!!🔥,Positif,instagram
350,mister.brada,❤️🙌,Positif,instagram
351,nabilla_sukmalarassati,Semoga dapet kesempatan magang di Digistar💅🏻,Positif,instagram
352,creqmyyate,kapan pengumumannya ya kak?,Positif,instagram
353,hapiipahhh,Bismillah,Positif,instagram
354,tsyawa_,Bismillah 🔥,Positif,instagram
355,nuradenariz,Bismillah❤️🔥,Positif,instagram
356,delianazuliaa,Bismillah,Positif,instagram
357,deeznode,manifestingg ✨,Positif,instagram
358,jelleeyaasngyu,ini masih tahap apaa?🥹,Positif,instagram
359,irsyadfahrezi,Pengumuman nya kapan jir,Positif,instagram
360,putrijantikaa,Semoga dapet kesempatan🙌,Positif,instagram
361,mysaurel,"bismillah, semoga kita dpt kesempatan yaa kak @afifah_f05 🤲🏻❤️🥹",Positif,instagram
362,labloomiz ,ikut yang chapter apa yg dr digistar club nya langsung? aku ranger nya soalnya haha,Negatif,x
363,dduumdum,"merdeka belajar dikit bgt 馃拃鉁嬸煆� telkom jg ga masuk + digistar jg dikurangin slotnya, di bdg aja cuma corpu guys",Negatif,x
364,erinaceinae__,ada yg struggling daftar di website telkom digistar ga ya?,Negatif,x
365,minfeatwon,"assalamualaikum bro bro semua, ada yg daftar digistar dan udah ngisi re-enrollment ga ya? atau yang batch sebelumnya pernah daftar? aku mau nanya soal pengalaman proyek tuh bentuk rilnya kayak kegiatan yg gimama aja yang termasuk?",Netral,x
366,itsxpryanka,digistar terima aku plis xixi,Positif,x
367,vevelalaa_,P ada yg daftar digistar telkom ga?,Netral,x
368,ajelnuttz,"@joy__ox kalau pemerintahan setau aku rata rata unpaid, bumn beda beda sih sistemnya. kalau telkom yg digistar itu paid bantuan biaya gt sih",Netral,x
369,ajelnuttz,"@joy__ox kalau kayak bumn telkom kmrn aku coba tuh dia jg via email gt di website digistar intern, bumn lain jg mirip鈥� gitu",Netral,x
370,loveivoryyy,ow beautiful my life would be if i were accepted at Digistar ,Positif,x
371,himaska_unri,Halo Sobatika! 馃ぉ鉁� Ada kabar baik nih buat kamu mahasiswa aktif minimal semester 6! Telkom Indonesia kembali membuka pendaftaran program Digistar Class Intern Batch 3 loh~,Positif,x
372,K1L1O,"@BigCheezy_ telkom lagi buka digistar 
https://t.co/NsQLlsLdOO",Netral,x
373,informasidak,"Kolaborasi kampus dan industri makin kuat berkat digistar connect dari telkom indonesia
#berita #telkomindonesia #digistarconnect #digistar #telkomforyou
@TelkomIndonesia @KemenBUMN https://t.co/wjVuYg0vzB",Positif,x
374,worksfess,Guys digistar class intern buka lagi di magenta. Yang mau dapet magang + mentoring class (hard skill + soft skill) kata aku sih gas daftar. H-3 close reg馃挜 Work! https://t.co/3d9wTHSEhA,Positif,x
375,newsupdateinf,"Telkom melalui Digistar Connect telah menjembatani gap antara pendidikan tinggi &amp; industri digital. Lebih dari 4.800 mahasiswa, alumni  pencari kerja muda telah mengikuti 30 sesi

#berita #telkomindonesia #digistarconnect #digistar #telkomforyou

@kemenBUMN @telkomindonesia https://t.co/IxXy8aC3x8",Positif,x
376,Ahmed | CV Maker👨🏻‍💻,"Kak kampusku gaada di list, pas klik pengajuan keterangannya sudah ada di database, itu gmna ya🙏🏻",Negatif,x
377,Piscesscha,nama kampus saya gk terlihat pas mau daftar 🥲,Negatif,tiktok
378,nafizhaann,Internship wfo nya dmna kak? Di cabang masing2 kota atau gimana ya?,Netral,tiktok
379,zznazz,"kak, untuk HR reasaearch asisstant memang cuma dibuka untuk student kah? soalnya cuma nemu yg deadlinenya 8 januari, on boarding 10 februari. buat freshgrad gaada kah atau emang belum posting aja?",Netral,tiktok
380,flskkfqlkg,"apa daya kl prodiku ga ada samsek lokernya, pdhl cmn beda 1 kata😌",Negatif,tiktok
381,Dann?,ntr bakal ad buat vidio perkenalan ga ya? mager buat vidio..,Negatif,tiktok
382,caa,kak ini wfh atau wfo ya?,Netral,tiktok
383,Cahyozzzz,"kak ini kebanyakan wfh atau wfo, apakah bisa kalau masih ada matkul wajib di kuliah?",Netral,tiktok
384,Aiiiiiiii,Pengen ikutan tapi official semester 6 nya bulan depan😭,Positif,tiktok
385,w ୨୧,ka ko udh gaada ya?,Negatif,tiktok
386,Yayang Maulud,"ka aku udah ada email waktu itu lanjut ke tahap tes online dan interview submit video dan aku udah submit video interview ku tgl 19, tapi sampai saat ini GK ada info lagi itu kapan diinfo lagi ya?",Netral,tiktok
387,ryne,"Kak, untuk posisi designer itu maksudnya graphic designer atau bukan yaa?",Netral,tiktok
388,firaiueo,kalau gak punya sertifikat dan portofolio bisa daftar gak kak?,Netral,tiktok
389,mangan,Program magenta busa konversi sks g si min?,Netral,tiktok
390,cika,ka untuk yang copywriter ga bisa untuk jurusan sastra inggris ya??,Netral,tiktok
391,Adindaluvv♡🎀♡,prodi pendidikan apa bisa kak?,Netral,tiktok
392,opseo,Kak rata-rata lowongannya buat S1 yaa:(((,Negatif,tiktok
393,Tobewho?,Bismillah lolos,Positif,tiktok
394,Inisial A,posisi utk FG sikit sekali😭,Negatif,tiktok
395,user324567,kak kok ga bisa login ya kata sandi salah terus :(,Negatif,tiktok
396,gaby,jatim gaada yaa?,Negatif,tiktok
397,Joriqqq,susah bgt nyari persyaratannya yg bisa semua jurusan😔,Negatif,tiktok
398,user324567,ga ada kak pas dicari,Negatif,tiktok
399,zaska,br lewat perpanjamg lgi dong daftarnya,Negatif,tiktok
400,Aelah,"Sangat tertatrik bergabung , sudah lewat tahap Administrasi , kemarin baru siap submit video resume nya , semoga lewat di bidang Developer",Positif,tiktok
401,sikberrrr,"nggak usah tulis lokasi seluruh Indonesia kak...klau ujung2 nya magang di jakarta, bandung, balik papan.. Wkwkwk..gua excited banget padahal..kirain ada di provinsi gua",Negatif,tiktok
402,,Michael Owen James Mayau ini mahasiswa semester 5 setahun yang lalu masih bisa daftar ga ya min,Netral,linkedin
403,,Absolutely amazing,Positif,linkedin
404,,"manifesting diterima di Digistar Class Intern batch 3 mahasiswa, aamiin",Positif,linkedin
405,,Mari bertemu di kesempatan lain!,Positif,linkedin
406,,Mau ikutan tapi tidak diizinkan kampusku 😭,Positif,linkedin
407,,Thank you😀,Positif,linkedin
408,,"Bukan mahasiswa lagi tapi ingin sekali daftar :"")",Positif,linkedin
409,,Secure your seat! Good luck applicants 🙌❣️,Positif,linkedin
410,,cung yg udah daftar dari lamaa!,Positif,linkedin
411,,min buat jurusan cyber security ada?,Netral,linkedin
412,,Congrats! 🎉,Positif,linkedin
413,,Mantebh Kak Min nya aktif n responsive....,Positif,linkedin
414,,Trims KakMin bakal lanjutin jawab pertanyaan-pertanyaan lanjutan👏🏻👏🏻👏🏻,Positif,linkedin
415,,Thanks for sharing,Positif,linkedin
416,,Wah sayang sih kalau ga daftar. Start dari sem. 5 loh 🎉🚀,Positif,linkedin
417,,Mantabhhh...semoga di perpanjang lagi ya Kak Min....,Positif,linkedin
418,,Love this!,Positif,linkedin
419,,Serafim Bella Naomi Hutapea gass bell,Positif,linkedin
420,,"Wah info menarik min, jadi bisa kabarin untuk yang masih semester 5 nih, biar bergegas daftar 🙌",Positif,linkedin
421,,Semester 4 yang otw semester 5 boleh ga min???,Netral,linkedin
422,,"Okky Tri Nugroho katanya sih boleh asal nilai semester 4 udah keluar, masalahnya kampusku baru mau UAS",Netral,linkedin
423,,"Good news! For student from semester 5 and up, don’t miss out apply fast!🔥",Positif,linkedin
424,,Tambahin posisi di Telkom Ambon dong min!,Positif,linkedin
425,,"Wah, ada berita bagus nih🔥🔥🔥 berani mulai, berani berkembang🚀🚀🚀",Positif,linkedin
426,,"Informasi menarik, kabar baik untuk kamu yg masi semester 5 ni, banyak role pilihan yg bisa kami daftar, yuk segera daftar 🚀",Positif,linkedin
427,,Okky Tri Nugroho boleh banget,Positif,linkedin
428,,Tunggu apalagi??? Buruan daftar🔥🔥🔥,Positif,linkedin
429,,Love this!,Positif,linkedin
430,,Selamat! 🎉,Positif,linkedin
431,,Keren nih mentor kita Kaka Damar Satrio Yudanto,Positif,linkedin
432,,"Izin nanya min, untuk yg tahun ini akan wisuda apakah masih bisa atau nanti ada program untuk fresh graduate?",Netral,linkedin
433,,Excited for this!,Positif,linkedin
434,,Bersemangat untuk ini 🔥,Positif,linkedin
435,,"Wah, semangat yaa buat yang join digistar class intern kali ini🚀🚀🚀",Positif,linkedin
436,,Can’t Wait! ✨🤩,Positif,linkedin
437,,I am very interested🙌🏼,Positif,linkedin
